dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,7
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,140
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,120
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,30
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,33
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,41
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,262
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,82
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,225
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,266
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,7
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,140
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,120
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,30
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,33
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,41
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2017,262
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,82
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,225
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,261
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,7
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,140
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,120
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,30
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,33
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,41
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2018,262
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2003,-
